//ID,DBName,kROName,iROName,Lvl,HP,SP,BaseExp,JobExp,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,MVPExp,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,//Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//===================================================================================================================================================================================================================================================================================================================================================================================================================
1022,WEREWOLF,Lobisomem,Lobisomem,80,28600,0,11813,7289,2,2560,3280,65,35,1,97,60,1,135,52,10,10,2,0,20,0x0,200,1500,768,652,0,0,0,0,0,0,0,0,999,500,1034,4000,984,500,985,500,7017,800,0,0,1912,300,0,0,0,0,4091,50

1023,ORK_WARRIOR,Guerreiro Orc,Guerreiro Orc,24,1400,0,408,160,1,104,126,10,5,1,24,48,25,34,10,10,12,1,7,20,0x3885,200,1864,864,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01024,WORM_TAIL,Rabo de Verme,Rabo de Verme,14,426,0,59,40,2,42,51,5,0,1,14,28,5,46,5,10,12,1,3,22,0x00000091,200,1048,48,192,0,0,0,,0,,0,,993,60,1011,25,906,5500,1408,30,508,70,721,5,10015,100,0,,0,,4034,1

1025,KYODAIJA,Kyodaija,Kyodaija,45,36500,0,350,1,1,162,182,10,10,210,100,210,210,210,210,10,12,1,2,20,0xA95,200,1576,576,576,0,0,0,0,0,0,0,0,0,0,1063,150,7524,1,623,30,0,0,0,0,0,0,0,0,0,0,0,0

1026,MUNAK,Munak,Munak,30,2872,0,601,318,1,150,230,0,0,1,15,20,5,46,15,10,12,1,1,29,0x00003885,200,2468,768,288,0,0,0,,0,,0,,901,9000,2264,2,2404,15,609,20,2337,1,2305,100,1558,5,0,,0,,4090,1

1027,TOGASHIRO,Togashiro,Togashiro,70,75500,0,1000,1,1,343,363,10,10,300,100,300,300,300,50,10,12,1,2,20,0x1481,200,2000,1000,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1028,SOLDIER_SKELETON,Esqueleto Soldado,Esqueleto Soldado,29,2334,0,372,226,1,221,245,10,15,1,15,22,5,40,15,10,12,1,1,29,0x00003885,200,2276,576,432,0,0,0,,0,,0,,932,5500,756,60,0,,507,700,934,10,1201,150,1216,50,0,,0,,4086,1

1029,ISIS,Isis,Isis,47,7003,0,3709,1550,1,423,507,10,35,38,65,43,50,66,15,10,12,2,6,20,0x3195,200,1384,768,336,0,0,0,0,0,0,0,0,936,5335,2233,5,0,0,733,150,732,20,954,1000,731,5,0,0,0,0,4116,1

1030,ANACONDAQ,Anaconda,Anaconda,23,1109,0,300,149,1,124,157,0,0,1,23,28,10,36,5,10,12,1,2,25,0x00000091,200,1576,576,576,0,0,0,,0,,0,,1011,50,937,9000,1455,10,926,1500,936,200,508,150,756,50,0,,0,,4062,1

1031,NAMEKUJI,Namekuji,Namekuji,30,33000,0,350,1,1,110,130,5,5,140,140,75,75,75,75,10,12,1,0,20,0x3081,300,1672,672,480,0,0,0,0,0,0,0,0,938,1,910,100,511,150,514,10,0,0,0,0,0,0,0,0,0,0,0,0

1032,BARU,Baru,Baru,81,2468000,0,8000,22000,1,6220,8040,67,40,400,300,1,300,300,300,10,12,1,2,20,0x3585,240,76,384,288,0,0,0,0,0,0,0,0,919,180,7030,160,1030,20,7564,10,556,2,572,2,582,2,578,2,512,2,0,0

1033,ELDER_WILOW,Pain no Rikudou,Pain no Rikudou,81,500000,0,0,0,1,1000,1000,12,24,1,1,1,1,1,1,10,12,0,8,40,0xF85,200,672,780,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1034,GIRINO,Girino,Girino,15,50,0,1,1,1,5,7,0,5,3,3,3,0,15,15,10,12,0,5,21,0x81,200,2016,816,288,0,0,0,0,0,0,0,0,918,200,938,10,7155,50,7705,10,7838,10,0,0,0,0,0,0,0,0,0,0

1035,HUNTER_FLY,Mosca Caçadora,Mosca Caçadora,42,5242,0,1517,952,1,246,333,25,15,33,105,32,15,72,30,10,12,0,4,40,0x3985,150,676,576,480,0,0,0,0,0,0,0,0,996,30,999,100,943,5335,912,1300,756,129,2259,1,1226,2,0,0,0,0,4115,1
1036,NIDACHOU,Nidachou,Nidachou,70,81000,0,1200,1,1,348,368,10,10,300,150,300,300,300,300,10,12,0,2,20,0x3881,250,2456,912,504,0,0,0,0,0,0,0,0,7063,100,0,0,0,0,511,20,0,0,0,0,0,0,0,0,0,0,0,0

1037,FILHO_DE_COBRA,Filhote de Cobra,Filhote de Cobra,15,45,1,1,3,1,6,8,0,0,6,6,6,6,18,18,10,12,0,2,20,0x91,200,1576,576,576,0,0,0,0,0,0,0,0,926,200,954,10,934,100,7837,10,0,0,0,0,0,0,0,0,0,0,0,0,0

//1038,OSIRIS,Osíris,Osíris,78,415400,0,71500,28600,1,780,2880,10,25,1,75,62,37,86,40,10,12,1,1,89,0x000037B5,100,1072,672,384,35750,10000,603,4000,608,3000,751,500,617,2000,1232,150,2235,200,0,,1009,1000,5053,150,984,3783,0,,0,,,

1039,MONSTRO_MARINHO,Monstro Marinho,Monstro Marinho,162,753000,0,4200,600000,2,2000,2050,25,25,300,300,300,300,300,300,10,7,2,7,21,0x3485,200,768,768,576,0,0,0,0,0,0,0,0,991,10,19160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1040,MANMOSUKAS,Manmosukas,Manmosukas,80,157000,0,1800,1,1,565,605,10,10,300,300,300,240,300,300,10,12,2,0,20,0x85,300,1608,816,396,0,0,0,0,0,0,0,0,999,3,953,80,912,80,757,70,2303,10,0,0,0,0,0,0,0,0,0,0

1041,GRANDE_ESQUILO,Grande Esquilo,Grande Esquilo,130,339000,0,3500,450000,1,884,924,20,20,300,300,300,300,300,300,10,12,1,1,27,0x3085,300,1772,72,384,0,0,0,0,0,0,0,0,930,100,1026,80,0,0,1005,1,0,0,525,50,508,100,0,0,0,0,0,0

1042,MOSQUITO,Mosquito,Mosquito,20,610,0,24,1,1,22,25,0,0,24,24,24,24,18,24,10,12,0,4,20,0x3083,150,1076,0,480,0,0,0,0,0,0,0,0,601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1043,SEAHORES,Seahorse,Seahorse,18,1452,0,122,78,3,100,150,15,7,1,1,1,1,1,1,10,10,0,5,20,0x0,200,1500,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1044,OBEAUNE,Obeaune,Obeaune,31,3952,0,644,407,1,141,165,0,40,1,31,31,55,74,85,10,12,1,5,20,0x3095,200,1872,672,288,0,0,0,0,0,0,0,0,995,13,950,9000,5014,1,2326,10,720,10,951,500,748,30,0,0,0,0,4093,1

1045,MARC,Cavalo Marinho,Cavalo Marinho,77,235000,1,0,2700000,1,2219,3169,15,10,94,98,90,94,200,100,10,12,1,5,20,0x3885,150,1272,72,480,0,0,0,0,0,0,0,0,951,200,720,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1046,CAVALEIRO,Cavaleiro,Cavaleiro,162,200000,0,4200,600000,1,1400,1450,25,25,300,300,300,300,300,300,10,12,1,6,23,0x37B1,180,280,480,288,0,0,0,0,0,0,0,0,7305,20,0,0,0,0,0,0,0,0,985,100,984,60,0,0,0,0,0,0

1047,PECOPECO_EGG,Zabuza,Zabuza,99,15000000,10000,1,0,1,5000,10000,30,30,500,300,300,600,500,150,10,12,1,7,20,0x5B5,200,1001,480,480,0,0,0,0,0,0,0,0,7244,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1048,THIEF_BUG_EGG,Haku,Haku,99,10000000,1000,1,0,1,2500,7500,30,30,400,200,300,300,500,100,10,12,1,7,60,0x5B5,200,1272,150,150,0,0,0,0,0,0,0,0,7245,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1049,JOUNIN,Mestre Velocidade,Mestre Velocidade,99,18000000,3000,2,6,1,2500,7500,15,15,100,999,600,100,999,150,9,12,1,7,20,0x3B1,75,1750,300,300,10,10000,516,10000,12208,10000,7206,10000,749,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1050,JOUNIN,Mestre Suiton,Mestre Suiton,99,15000000,3000,2,2,1,2500,7500,15,35,800,400,600,600,600,300,10,12,1,7,20,0x13B5,125,2000,325,325,10,10000,516,10000,12208,10000,7206,10000,749,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1051,BIKOUCHUU,Bikouchuu,Bikouchuu,20,900,0,5,1,1,20,24,5,0,24,6,24,24,45,36,10,12,0,4,20,0x281,150,1288,288,768,0,0,0,0,0,0,0,0,0,0,1042,10000,928,100,935,10,0,0,0,0,0,0,0,0,0,0,0,0

1052,ROCKER,Rocker,Rocker,9,198,0,20,16,1,24,29,5,10,1,9,18,10,14,15,10,12,1,4,22,0x00000181,200,1864,864,540,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,

1053,BARATA_MACHO,Barata Macho,Barata Macho,35,12300,0,120,1,1,77,97,10,10,150,150,150,150,150,150,10,12,1,4,20,0x1081,200,988,288,768,0,0,0,0,0,0,0,0,7190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1054,THIEF_BUG__,Besouro-Ladrão Macho,Besouro-Ladrão Macho,19,583,0,223,93,1,76,88,15,5,1,29,16,5,36,0,10,12,1,4,27,0x0000318D,300,988,288,768,0,0,0,,0,,0,,1011,40,928,5500,955,1500,1152,10,508,90,729,5,1116,50,0,,0,,4050,1

1055,MUKA,Muka,Muka,17,610,0,273,120,1,40,49,5,5,15,15,30,5,20,10,10,12,2,3,20,0x81,300,1960,960,384,0,0,0,0,0,0,0,0,993,70,952,9000,713,2000,511,400,507,1000,1451,50,1002,250,0,0,0,0,4036,1

1056,SMOKIE,Fumacento,Fumacento,18,641,0,134,86,1,61,72,0,10,1,18,36,25,26,35,10,12,0,2,22,0x00000091,200,1576,576,420,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,

1057,ENMA,Enma,Enma,99,2460000,0,8000,421000,1,7822,8251,66,36,400,300,300,300,300,300,10,12,2,2,20,0xF9F,200,1054,54,384,0,0,0,0,0,0,0,0,0,0,7011,200,702,200,6020,10,558,2,573,2,556,2,572,2,578,2,0,0

1058,GAFANHOTO,Gafanhoto,Gafanhoto,162,750000,0,4200,600000,1,2000,2050,25,25,300,300,300,300,300,300,10,12,1,4,23,0x118F,200,708,1008,540,0,0,0,0,0,0,0,0,990,1,940,200,911,200,757,100,707,1,935,100,0,0,0,0,0,0,0,0

1059,ABELHA_CHEFE,Abelha Chefe,Abelha Chefe,130,451000,0,3000,450000,1,890,930,20,20,350,350,350,350,350,350,10,12,0,4,24,0x36B5,100,848,648,300,0,0,0,0,0,0,0,0,0,0,518,200,0,0,0,0,7018,1,985,60,984,60,0,0,0,0,0,0

1060,JOUNIN,Mestre Fuuton,Mestre Fuuton,99,15000000,3000,2,2,1,2500,7500,15,35,800,400,600,600,600,300,10,12,1,7,20,0x13B5,125,2000,325,325,10,10000,516,10000,12208,10000,7206,10000,749,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1061,NIGHTMARE,Cavalo das Trevas,Cavalo das Trevas,77,235000,1,0,2700000,1,2219,3169,15,10,94,98,90,94,200,100,10,12,2,6,60,0x3395,150,1816,816,432,0,0,0,0,0,0,0,0,944,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1062,SANTA_PORING,Poring Noel,Poring Noel,3,69,0,4,5,1,12,16,0,0,1,14,3,10,12,90,10,12,1,3,26,0x00000081,400,1672,672,480,0,0,0,,0,,0,,529,2000,530,1000,507,1000,512,1000,2236,100,741,10,0,,0,,0,,4005,1

1063,LUNATIC,Lunático,Lunático,3,60,0,6,2,1,9,12,0,20,1,3,3,10,8,60,10,12,0,2,20,0x81,200,1456,456,336,0,0,0,0,0,0,0,0,705,6500,949,1000,2262,4,512,2000,507,600,515,1100,622,20,0,0,0,0,4006,1

1064,MEGALODON,Peixe Zumbi,Peixe Zumbi,80,250000,1,0,132,1,2500,3500,20,15,95,100,100,95,200,100,10,12,1,1,29,0x00000081,200,2492,792,432,0,0,0,,0,,0,,959,200,0,,0,,0,,0,,0,,0,,0,,0,,0,

1065,STROUF,Espírito Raiton,Espírito Raiton,102,98978,0,100,856234,1,3200,9400,39,43,1,30,73,58,45,30,10,12,2,6,20,0x308D,200,1264,864,288,0,0,0,0,0,0,0,0,13161,10,13162,10,13163,10,13164,10,13165,10,13166,10,13167,10,13168,10,13169,10,0,0

1066,CRUSTACEO,Crustáceo,Crustáceo,162,750000,0,4200,600000,1,2000,2050,25,25,300,300,300,300,300,300,10,12,0,5,21,0x3481,300,1632,432,540,0,0,0,0,0,0,0,0,0,0,960,180,910,60,0,0,943,100,757,40,0,0,0,0,0,0,0,0

1067,CORNUTUS,Cornutus,Cornutus,100,396000,0,2400,230000,1,735,765,17,17,300,300,300,300,300,300,10,12,0,5,20,0x3483,200,1248,48,480,0,0,0,0,0,0,0,0,0,0,961,160,911,40,757,10,0,0,943,2,0,0,0,0,0,0,0,0

1068,HYDRA,Hidra,Hidra,14,660,0,59,40,7,22,28,0,40,1,14,14,0,40,2,10,12,0,3,41,0x00000084,1000,800,432,600,0,0,0,,0,,0,,1011,25,962,5500,938,1500,971,20,525,5,517,700,0,,0,,0,,4035,1

1069,SWORD_FISH,Peixe Espada,Peixe Espada,74,200000,1,0,638,1,2000,2900,10,10,93,96,80,93,200,100,10,12,2,5,20,0x3885,200,1968,768,384,0,0,0,0,0,0,0,0,963,100,956,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1070,VERME,Verme,Verme,20,310,0,5,1,1,11,15,0,0,24,24,24,24,24,32,10,12,0,5,20,0x83,150,1776,576,288,0,0,0,0,0,0,0,0,955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1071,PIRATE_SKEL,Esqueleto Pirata,Esqueleto Pirata,25,1676,0,233,142,1,145,178,10,15,25,13,25,5,25,10,10,12,1,1,29,0x3885,200,1754,554,288,0,0,0,0,0,0,0,0,932,3000,2287,15,7477,5,2211,250,1104,250,756,43,628,20,0,0,0,0,4073,11072,KAHO,Kaho,Kaho,60,8409,0,3990,450,1,110,760,5,50,1,55,43,88,80,46,10,12,1,6,83,0x00003985,150,1700,1000,500,0,0,0,,0,,0,,994,30,1003,150,7097,3000,690,100,757,1000,716,300,970,5,0,,0,,4065,1

1073,CARANGUEJO,Caranguejo,Caranguejo,130,336000,1,3500,450000,1,882,922,20,20,300,300,300,300,300,300,7,12,0,5,21,0x81,200,992,792,360,0,0,0,0,0,0,0,0,720,20,960,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1074,SHELLFISH,Molusco,Molusco,80,250000,1,0,44,1,2500,3500,20,15,95,100,100,95,200,100,10,12,0,5,21,0x00000091,200,864,864,384,0,0,0,,0,,0,,965,200,966,50,722,2,0,,0,,0,,0,,0,,0,,0,

1075,TURTLE,Tartaruga,Tartaruga,3,77,0,0,0,1,1,2,35,0,1,1,1,1,1,1,7,12,0,5,20,0x81,200,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1076,SKELETON,Esqueleto,Esqueleto,10,234,0,18,14,1,39,47,10,10,1,5,10,0,12,0,10,12,1,1,29,0x00000091,200,2228,528,576,0,0,0,,0,,0,,1010,90,932,800,1505,80,909,3000,507,850,2609,30,0,,0,,0,,4025,1

1077,POISON_SPORE,Esporo Venenoso,Esporo Venenoso,19,665,0,186,93,1,89,101,0,0,1,19,25,0,24,0,10,12,1,3,20,0x3885,200,1672,672,288,0,0,0,0,0,0,0,0,7033,9000,2221,20,511,550,510,60,972,50,921,1200,912,5,0,0,0,0,4048,1

1078,PLANTA_SUNA,Planta de Suna,Planta de Suna,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,0x40,2000,1,1,1,0,0,0,0,0,0,0,0,704,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1079,PLANTA_KONOHA,Planta de Konoha,Planta de Konoha,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,0x40,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,712,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1080,BLUE_PLANT,Planta Verde,Planta Verde,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x00000040,2000,1,1,1,0,0,0,,0,,0,,0,,631,5000,0,,0,,0,,0,,0,,0,,0,,0,

1081,PLANTA_NUVEM,Planta da Núvem,Planta da Núvem,1,10,0,5,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,0x40,2000,1,1,1,0,0,0,0,0,0,0,0,2207,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1082,WHITE_PLANT,Planta medicinal,Planta medicinal,1,10,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,22,0x00000040,2000,1,1,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,

1083,PLANTA_NEVOA,Planta da Névoa,Planta da Névoa,1,20,0,5,0,1,1,2,100,99,0,0,0,0,0,90,7,12,0,3,20,0x40,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,150,0,0,0,0,0,0,0,0,0,0,0,0

1084,BLACK_MUSHROOM,Monstro Suiton C,Monstro Suiton C,25,68978,0,100,656234,2,1360,2560,45,45,450,380,400,450,400,440,10,12,1,2,20,0x583,400,1872,672,480,0,0,0,0,0,0,0,0,13163,10,13102,100,13154,50,13169,10,13151,100,13160,50,0,0,0,0,0,0,0,0

1085,RED_MUSHROOM,Cogumelo Vermelho,Cogumelo Vermelho,1,15,0,0,0,1,1,2,100,99,0,0,0,0,0,0,7,12,0,3,20,0x40,2000,1,1,1,0,0,0,0,0,0,0,0,970,50,972,50,630,20,0,0,990,1000,921,5500,921,5500,7033,5500,0,0,0,0

1086,Kyuubi,Kyuubi,Kyuubi,600,50000000,88888888,1,1,1,30000,32000,65,65,700,200,50,700,600,200,3,12,2,7,20,0xFB5,150,720,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1087,ORK_HERO,Orc Herói,Orc Herói,77,585700,0,58630,32890,1,2257,2542,40,45,1,91,99,70,105,90,10,12,2,7,20,0x37B5,150,1678,780,648,29315,10000,725,2000,607,1500,999,5000,968,9700,10018,500,1366,150,2106,250,1124,1000,985,4559,984,3589,0,0,0,0,4143,1

1088,Akatsuki_Bunshin,Akatsuki Bunshin,Akatsuki Bunshin,200,10000000,1,7500000,50000000,1,23000,24000,10,30,450,450,50,450,450,400,10,12,1,4,20,0x5B5,200,1080,648,480,0,0,0,0,0,0,0,0,19173,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1089,GAMA_BUNTA,Gama-Bunta,Gama-Bunta,81,2468000,0,8000,5,220000,1,6220,8040,35,400,400,1,400,400,400,195,10,x,2,20,0x15,0x37B5,200,1236,336,0,0,0,0,0,0,0,0,556,2,512,2,12056,10000,7023,1,2268,60,7513,1,573,2,578,2,574,2,0,0

1090,MASTERING,Mastering,Mastering,2,2415,0,30,10,1,18,24,0,10,1,2,2,0,17,60,10,12,1,3,21,0x000037B5,300,1072,672,480,0,0,0,,0,,0,,2257,200,619,50,722,1000,2116,1000,512,8000,512,8000,531,4000,0,,0,,4197,1

1091,DRAGON_FLY,Deidara,Deidara,99,14000000,5000000,70000000,70000000,3,9999,9999,20,20,320,320,320,320,320,320,10,12,1,7,20,0xFBD,100,480,480,480,3333333,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1092,VAGABOND_WOLF,Lobo Errante,Lobo Errante,24,12240,0,247,176,1,135,159,10,0,57,45,48,20,50,65,10,12,1,2,22,0x000037B5,150,1048,648,432,0,0,0,,0,,0,,2248,200,920,8000,728,1500,1148,100,2521,1000,725,10,626,50,0,,0,,4183,1

1093,COELHO,Coelho,Coelho,80,151000,0,1800,1,1,553,593,10,10,300,300,300,300,300,300,10,12,1,2,20,0x3691,200,1456,456,336,0,0,0,0,0,0,0,0,0,0,507,160,0,0,746,30,706,30,0,0,0,0,0,0,0,0,0,0

1094,AMBERNITE,Caramujo,Caramujo,77,235000,1,0,38,1,2219,3169,15,10,94,98,90,94,200,100,10,12,2,4,21,0x00000191,400,2048,648,648,0,0,0,,0,,0,,946,50,0,,0,,0,,0,,0,,0,,0,,0,,0,

