

//abyss_03,0,0,0,0	monster	Ichibi	1737,1,24000000,24000000,0
//iz_dun01,0,0,0,0	monster	Nibi	1984,1,24000000,24000000,0
//mag_dun01,0,0,0,0	monster	Sanbi	1986,1,24000000,24000000,0
//mag_dun02,0,0,0,0	monster	Yonbi	1981,1,24000000,24000000,0
//ra_san05,0,0,0,0	monster	Gobi	1982,1,24000000,24000000,0
//tur_dun01,0,0,0,0	monster	Rokubi	1985,1,24000000,24000000,0
//tur_dun02,0,0,0,0	monster	Shichibi	1983,1,24000000,24000000,0
//tur_dun03,0,0,0,0	monster	Hachibi	1738,1,24000000,24000000,0
//thor_v03,0,0,0,0	monster	Kyuubi	1086,1,24000000,24000000,0

prt_fild06,0,0,0,0	monster	Líder Anbu	1992,1,1500000,1500000,0

moc_fild03,0,0,0,0	monster	Taka	1987,15,0,0,0

mjolnir_06,0,0,0,0	monster	Inseto Rainha	1147,20,0,0,0
mjolnir_06,0,0,0,0	monster	Inseto Rei	1289,20,0,0,0
mjolnir_06,0,0,0,0	monster	Gafanhoto	1058,35,0,0,0
mjolnir_06,0,0,0,0	monster	Inseto Guardião	1159,30,0,0,0

mjolnir_07,0,0,0,0	monster	Girino	1034,25,0,0,0
mjolnir_07,0,0,0,0	monster	Gama-Kichi	1402,25,0,0,0
mjolnir_07,0,0,0,0	monster	Gama-Bunta	1089,25,0,0,0

mjolnir_08,0,0,0,0	monster	Coelho	1093,85,0,0,0
mjolnir_08,0,0,0,0	monster	Líder Anbu	1992,5,1500000,1500000,0

prt_fild00,0,0,0,0	monster	Camaleon	1831,20,0,0,0
prt_fild00,0,0,0,0	monster	Ninkame	1315,40,0,0,0
prt_fild00,0,0,0,0	monster	Doki	1177,20,0,0,0
prt_fild00,0,0,0,0	monster	Líder Jounin	1391,1,1800000,1800000,0

mjolnir_11,0,0,0,0	monster	Filhote de Cobra	1037,25,0,0,0
mjolnir_11,0,0,0,0	monster	Kyodaija	1025,25,0,0,0
mjolnir_11,0,0,0,0	monster	Manda	1418,25,0,0,0

gef_fild02,0,0,0,0	monster	Chunin	1636,30,0,0,0
gef_fild02,0,0,0,0	monster	Akamaru	1106,15,0,0,0
gef_fild02,0,0,0,0	monster	Nidachou	1036,15,0,0,0
gef_fild02,0,0,0,0	monster	Usagiburaun	1322,15,0,0,0
gef_fild02,0,0,0,0	monster	Togashiro	1027,15,0,0,0

prt_fild07,0,0,0,0	monster	Camaleon	1831,5,0,0,0
prt_fild07,0,0,0,0	monster	Chunin	1636,15,0,0,0
prt_fild07,0,0,0,0	monster	Togashiro	1027,65,0,0,0


gef_fild03,0,0,0,0	monster	Anbu	1635,45,0,0,0
gef_fild03,0,0,0,0	monster	Líder Anbu	1992,1,1500000,1500000,0

gef_fild12,0,0,0,0	monster	Camaleon	1831,20,0,0,0
gef_fild12,0,0,0,0	monster	Ninkame	1315,40,0,0,0
gef_fild12,0,0,0,0	monster	Doki	1177,20,0,0,0
gef_fild12,0,0,0,0	monster	Jounin	1634,30,0,0,0
gef_fild12,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

prt_fild03,0,0,0,0	monster	Planta Medicinal 	1082,150,60000,60000,0

prt_fild11,0,0,0,0	monster	Bikouchuu	1051,70,0,0,0
prt_fild11,0,0,0,0	monster	Kyodaigumo	1304,70,0,0,0

um_fild03,0,0,0,0	monster	Verme Mestre	1305,40,0,0,0
um_fild03,0,0,0,0	monster	Verme Maldito		1194,40,0,0,0
um_fild03,0,0,0,0	monster	Verme Chefe	1099,25,0,0,0
um_fild03,0,0,0,0	monster	Escaravelho	1211,35,0,0,0

yuno_fild09,0,0,0,0	monster	Inseto Assassino	1294,40,0,0,0
yuno_fild09,0,0,0,0	monster	Louva-a-Deus	1139,40,0,0,0
yuno_fild09,0,0,0,0	monster	Dragão Mutante	1262,25,0,0,0
yuno_fild09,0,0,0,0	monster	Gremlin	1632,20,0,0,0

yuno_fild07,0,0,0,0	monster	Taka	1987,50,0,0,0



//FildsSuna

moc_fild01,0,0,0,0	monster	Planta de Suna	1078,1,600000,600000,0
moc_fild01,0,0,0,0	monster	Girino	1034,60,0,0,0
moc_fild01,0,0,0,0	monster	Filhote de Cobra	1037,50,0,0,0
moc_fild01,0,0,0,0	monster	Filhote de Katsuyu	1783,50,0,0,0
moc_fild01,0,0,0,0	monster	Akino	1212,50,0,0,0
moc_fild01,0,0,0,0	monster	Onbba	1214,50,0,0,0

moc_fild17,0,0,0,0	monster	Bikouchuu	1051,50,0,0,0
moc_fild17,0,0,0,0	monster	Kyodaigumo	1304,40,0,0,0
moc_fild17,0,0,0,0	monster	Genin	1656,40,0,0,0
moc_fild17,0,0,0,0	monster	Abelha Rainha Gigante	1303,20,0,0,0
moc_fild17,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
moc_fild17,0,0,0,0	monster	Líder Genin	1389,1,1800000,1800000,0

moc_fild06,0,0,0,0	monster	Kyodaija	1025,35,0,0,0
moc_fild06,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
moc_fild06,0,0,0,0	monster	Namekuji	1031,30,0,0,0
moc_fild06,0,0,0,0	monster	Pakkun	1296,30,0,0,0
moc_fild06,0,0,0,0	monster	Saru	1628,30,0,0,0
moc_fild06,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

moc_fild14,0,0,0,0	monster	Chunin	1636,50,0,0,0
moc_fild14,0,0,0,0	monster	Akamaru	1106,25,0,0,0
moc_fild14,0,0,0,0	monster	Nidachou	1036,25,0,0,0
moc_fild14,0,0,0,0	monster	Usagiburaun	1322,25,0,0,0
moc_fild14,0,0,0,0	monster	Togashiro	1027,25,0,0,0
moc_fild14,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
moc_fild14,0,0,0,0	monster	Líder Chunin	1390,1,1800000,1800000,0

moc_fild01,0,0,0,0	monster	Condor	1009,25,0,0,0
moc_fild01,0,0,0,0	monster	Coelho	1093,25,0,0,0
moc_fild01,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
moc_fild01,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
moc_fild01,0,0,0,0	monster	Chamu	1405,25,0,0,0
moc_fild01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

moc_pryd05,0,0,0,0	monster	Camaleon	1831,20,0,0,0
moc_pryd05,0,0,0,0	monster	Ninkame	1315,40,0,0,0
moc_pryd05,0,0,0,0	monster	Doki	1177,20,0,0,0


cmd_fild09,0,0,0,0	monster	Camaleon	1831,20,0,0,0
cmd_fild09,0,0,0,0	monster	Ninkame	1315,40,0,0,0
cmd_fild09,0,0,0,0	monster	Doki	1177,20,0,0,0
cmd_fild09,0,0,0,0	monster	Jounin	1634,30,0,0,0
cmd_fild09,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
cmd_fild09,0,0,0,0	monster	Líder Jounin	1391,1,1800000,1800000,0

moc_fild02,0,0,0,0	monster	Shinobi Ladrão		1201,50,180000,180000,0
moc_fild02,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,180000,180000,0
moc_fild02,0,0,0,0	monster	Shinobi Sanguinario	1769,25,180000,180000,0
moc_fild02,0,0,0,0	monster	Prisioneiro Assassino	1202,25,180000,180000,0
moc_fild02,0,0,0,0	monster	Prisioneiro Fugitivo	1257,25,180000,180000,0
moc_fild02,0,0,0,0	monster	Shinobi Assassino	1507,25,180000,180000,0
moc_fild02,0,0,0,0	monster	Nukenin Procurado 	1839,20,180000,180000,0
moc_fild02,0,0,0,0	monster	Nukenin Assassino 	1401,20,180000,180000,0
moc_fild02,0,0,0,0	monster	Nukenin Ladrão 	1154,20,180000,180000,0
moc_fild02,0,0,0,0	monster	Nukenin	1771,20,180000,180000,0

pay_fild02,0,0,0,0	monster	Camaleon	1831,20,0,0,0
pay_fild02,0,0,0,0	monster	Ninkame	1315,40,0,0,0
pay_fild02,0,0,0,0	monster	Doki	1177,20,0,0,0
pay_fild02,0,0,0,0	monster	Jounin	1634,30,0,0,0
pay_fild02,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

pay_fild03,0,0,0,0	monster	Gama-Bunta	1089,25,0,0,0
pay_fild03,0,0,0,0	monster	Katsuyo	1381,25,0,0,0
pay_fild03,0,0,0,0	monster	Manda	1418,25,0,0,0
pay_fild03,0,0,0,0	monster	Enma	1057,25,0,0,0
pay_fild03,0,0,0,0	monster	Baru	1032,25,0,0,0
pay_fild03,0,0,0,0	monster	Anbu	1635,20,0,0,0
pay_fild03,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ve_fild04,0,0,0,0	monster	Gama-Bunta	1089,25,0,0,0
ve_fild04,0,0,0,0	monster	Katsuyo	1381,25,0,0,0
ve_fild04,0,0,0,0	monster	Manda	1418,25,0,0,0
ve_fild04,0,0,0,0	monster	Enma	1057,25,0,0,0
ve_fild04,0,0,0,0	monster	Baru	1032,25,0,0,0
ve_fild04,0,0,0,0	monster	Anbu	1635,20,0,0,0
ve_fild04,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ra_fild03,0,0,0,0	monster	Anbu	1635,45,0,0,0
ra_fild03,0,0,0,0	monster	Líder Anbu	1992,1,1500000,1500000,0

moc_fild08,0,0,0,0	monster	Camaleon	1831,5,0,0,0
moc_fild08,0,0,0,0	monster	Chunin	1636,15,0,0,0
moc_fild08,0,0,0,0	monster	Togashiro	1027,65,0,0,0

ve_fild03,0,0,0,0	monster	Condor	1009,25,0,0,0
ve_fild03,0,0,0,0	monster	Coelho	1093,25,0,0,0
ve_fild03,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
ve_fild03,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
ve_fild03,0,0,0,0	monster	Chamu	1405,25,0,0,0
ve_fild03,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ve_fild02,0,0,0,0	monster	Camaleon	1831,5,0,0,0
ve_fild02,0,0,0,0	monster	Chunin	1636,15,0,0,0
ve_fild02,0,0,0,0	monster	Togashiro	1027,65,0,0,0

lhz_fild02,0,0,0,0	monster	Coelho	1093,85,0,0,0
lhz_fild02,0,0,0,0	monster	Líder Anbu	1992,5,1500000,1500000,0

moc_fild15,0,0,0,0	monster	Camaleon	1831,20,0,0,0
moc_fild15,0,0,0,0	monster	Ninkame	1315,40,0,0,0
moc_fild15,0,0,0,0	monster	Doki	1177,20,0,0,0
moc_fild15,0,0,0,0	monster	Jounin	1634,30,0,0,0
moc_fild15,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ra_fild08,0,0,0,0	monster	Filhote de Cobra	1037,25,0,0,0
ra_fild08,0,0,0,0	monster	Kyodaija	1025,25,0,0,0
ra_fild08,0,0,0,0	monster	Manda	1418,25,0,0,0

ein_fild08,0,0,0,0	monster	Bikouchuu	1051,70,0,0,0
ein_fild08,0,0,0,0	monster	Kyodaigumo	1304,70,0,0,0

ra_fild04,0,0,0,0	monster	Camaleon	1831,20,0,0,0
ra_fild04,0,0,0,0	monster	Ninkame	1315,40,0,0,0
ra_fild04,0,0,0,0	monster	Doki	1177,20,0,0,0
ra_fild04,0,0,0,0	monster	Jounin	1634,30,0,0,0
ra_fild04,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ra_fild13,0,0,0,0	monster	Planta Medicinal 	1082,87,60000,60000,0

ra_fild02,0,0,0,0	monster	Condor	1009,25,0,0,0
ra_fild02,0,0,0,0	monster	Coelho	1093,25,0,0,0
ra_fild02,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
ra_fild02,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
ra_fild02,0,0,0,0	monster	Chamu	1405,25,0,0,0
ra_fild02,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ra_fild01,0,0,0,0	monster	Besouro-Rei	1494,40,0,0,0
ra_fild01,0,0,0,0	monster	Borboleta Sanguinária	1408,40,0,0,0
ra_fild01,0,0,0,0	monster	Borboleta	1018,35,0,0,0

ein_fild02,0,0,0,0	monster	Abelha	1114,40,0,0,0
ein_fild02,0,0,0,0	monster	Abelha Macho	1004,40,0,0,0
ein_fild02,0,0,0,0	monster	Abelha Chefe	1059,30,0,0,0

yuno_fild04,0,0,0,0	monster	Borboleta Macho	1293,30,0,0,0
yuno_fild04,0,0,0,0	monster	Lavadeira	1321,30,0,0,0
yuno_fild04,0,0,0,0	monster	Besouro	1128,25,0,0,0

ein_dun01,0,0,0,0	monster	Bandido	1372,25,0,0,0

ra_fild11,0,0,0,0	monster	Camaleon	1831,5,0,0,0
ra_fild11,0,0,0,0	monster	Chunin	1636,15,0,0,0
ra_fild11,0,0,0,0	monster	Togashiro	1027,65,0,0,0

moc_fild04,0,0,0,0	monster	Filhote de Cobra	1037,25,0,0,0
moc_fild04,0,0,0,0	monster	Kyodaija	1025,25,0,0,0
moc_fild04,0,0,0,0	monster	Manda	1418,25,0,0,0



//FildsNévoa

gef_fild04,0,0,0,0	monster	Planta da Névoa	1083,1,600000,600000,0
gef_fild04,0,0,0,0	monster	Girino	1034,60,0,0,0
gef_fild04,0,0,0,0	monster	Filhote de Cobra	1037,50,0,0,0
gef_fild04,0,0,0,0	monster	Filhote de Katsuyu	1783,50,0,0,0
gef_fild04,0,0,0,0	monster	Akino	1212,50,0,0,0
gef_fild04,0,0,0,0	monster	Onbba	1214,50,0,0,0


um_fild01,0,0,0,0	monster	Bikouchuu	1051,50,0,0,0
um_fild01,0,0,0,0	monster	Kyodaigumo	1304,40,0,0,0
um_fild01,0,0,0,0	monster	Genin	1656,40,0,0,0
um_fild01,0,0,0,0	monster	Abelha Rainha Gigante	1303,20,0,0,0
um_fild01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
um_fild01,0,0,0,0	monster	Líder Genin	1389,1,1800000,1800000,0

gef_fild05,0,0,0,0	monster	Kyodaija	1025,35,0,0,0
gef_fild05,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
gef_fild05,0,0,0,0	monster	Namekuji	1031,30,0,0,0
gef_fild05,0,0,0,0	monster	Pakkun	1296,30,0,0,0
gef_fild05,0,0,0,0	monster	Saru	1628,30,0,0,0
gef_fild05,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

prt_fild10,0,0,0,0	monster	Chunin	1636,50,0,0,0
prt_fild10,0,0,0,0	monster	Akamaru	1106,25,0,0,0
prt_fild10,0,0,0,0	monster	Nidachou	1036,25,0,0,0
prt_fild10,0,0,0,0	monster	Usagiburaun	1322,25,0,0,0
prt_fild10,0,0,0,0	monster	Togashiro	1027,25,0,0,0
prt_fild10,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
pay_fild10,0,0,0,0	monster	Líder Chunin	1390,1,1800000,1800000,0

mjolnir_02,0,0,0,0	monster	Condor	1009,25,0,0,0
mjolnir_02,0,0,0,0	monster	Coelho	1093,25,0,0,0
mjolnir_02,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
mjolnir_02,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
mjolnir_02,0,0,0,0	monster	Chamu	1405,25,0,0,0
mjolnir_02,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

prt_fild10,0,0,0,0	monster	Enma	1057,25,0,0,0
prt_fild10,0,0,0,0	monster	Onbba	1214,25,0,0,0
prt_fild10,0,0,0,0	monster	Saru	1628,25,0,0,0

ama_fild01,0,0,0,0	monster	Namekuji	1031,25,0,0,0
ama_fild01,0,0,0,0	monster	Katsuyo	1381,25,0,0,0
ama_fild01,0,0,0,0	monster	Filhote de Katsuyu	1783,25,0,0,0
ama_fild01,0,0,0,0	monster	Líder Jounin	1391,1,1800000,1800000,0

iz_dun04,0,0,0,0	monster	Girino	1034,100,0,0,0
iz_dun04,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
iz_dun04,0,0,0,0	monster	Gama-Bunta	1089,5,0,0,0

prt_fild04,0,0,0,0	monster	Operário	1169,40,0,0,0
prt_fild04,0,0,0,0	monster	Mineirador	1838,40,0,0,0
prt_fild04,0,0,0,0	monster	Escavador	1121,25,0,0,0

gef_fild09,0,0,0,0	monster	Guardião		1735,40,0,0,0
gef_fild09,0,0,0,0	monster	Guardião Mestre	1736,40,0,0,0
gef_fild09,0,0,0,0	monster	Guardião Arqueiro	1830,25,0,0,0
gef_fild09,0,0,0,0	monster	Espadachim	1163,30,0,0,0

odin_tem01,0,0,0,0	monster	Guardião Chefe	1829,30,0,0,0
odin_tem01,0,0,0,0	monster	Cavaleiro	1046,30,0,0,0
odin_tem01,0,0,0,0	monster	Samurai		1492,25,0,0,0



//FildsNuvem

yuno_fild08,0,0,0,0	monster	Planta da Núvem	1081,1,600000,600000,0
yuno_fild08,0,0,0,0	monster	Girino	1034,60,0,0,0
yuno_fild08,0,0,0,0	monster	Filhote de Cobra	1037,50,0,0,0
yuno_fild08,0,0,0,0	monster	Filhote de Katsuyu	1783,50,0,0,0
yuno_fild08,0,0,0,0	monster	Akino	1212,50,0,0,0
yuno_fild08,0,0,0,0	monster	Onbba	1214,50,0,0,0


yuno_fild05,0,0,0,0	monster	Bikouchuu	1051,50,0,0,0
yuno_fild05,0,0,0,0	monster	Kyodaigumo	1304,40,0,0,0
yuno_fild05,0,0,0,0	monster	Genin	1656,40,0,0,0
yuno_fild05,0,0,0,0	monster	Abelha Rainha Gigante	1303,20,0,0,0
yuno_fild05,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
yuno_fild05,0,0,0,0	monster	Líder Genin	1389,1,1800000,1800000,0

hu_fild06,0,0,0,0	monster	Kyodaija	1025,35,0,0,0
hu_fild06,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
hu_fild06,0,0,0,0	monster	Namekuji	1031,30,0,0,0
hu_fild06,0,0,0,0	monster	Pakkun	1296,30,0,0,0
hu_fild06,0,0,0,0	monster	Saru	1628,30,0,0,0
hu_fild06,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

bra_fild01,0,0,0,0	monster	Chunin	1636,50,0,0,0
bra_fild01,0,0,0,0	monster	Akamaru	1106,25,0,0,0
bra_fild01,0,0,0,0	monster	Nidachou	1036,25,0,0,0
bra_fild01,0,0,0,0	monster	Usagiburaun	1322,25,0,0,0
bra_fild01,0,0,0,0	monster	Togashiro	1027,25,0,0,0
bra_fild01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
bra_fild01,0,0,0,0	monster	Líder Chunin	1390,1,1800000,1800000,0

hu_fild07,0,0,0,0	monster	Condor	1009,25,0,0,0
hu_fild07,0,0,0,0	monster	Coelho	1093,25,0,0,0
hu_fild07,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
hu_fild07,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
hu_fild07,0,0,0,0	monster	Chamu	1405,25,0,0,0
hu_fild07,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

ein_fild01,0,0,0,0	monster	Pequena Planta Carnívora	1368,40,0,0,0
ein_fild01,0,0,0,0	monster	Pequena Tartaruga		1318,40,0,0,0
ein_fild01,0,0,0,0	monster	Cornutus	1067,25,0,0,0
ein_fild01,0,0,0,0	monster	Planta	1780,35,0,0,0

yuno_fild11,0,0,0,0	monster	Caranguejo	1073,40,0,0,0
yuno_fild11,0,0,0,0	monster	Tartaruga	1601,40,0,0,0
yuno_fild11,0,0,0,0	monster	Grande Esquilo	1041,20,0,0,0
